id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020-12-04 00:02:51,突尼斯,99280,0,73607,3359,0,0.0,1208.0,,0.0,0.0,,,
9507896,2020-12-04 23:23:20,塞尔维亚,206940,0,15913,1834,0,0.0,7782.0,,0.0,69.0,,,
0,2020-12-04 19:18:21,中国,94023,0,87761,4753,0,3904.0,114.0,,84.0,2.0,,140.0,15.0
1,2020-12-04 23:13:25,日本本土,158373,0,131020,2210,0,0.0,2445.0,,1935.0,36.0,,,
2,2020-12-04 13:53:10,泰国,4053,0,3839,60,0,0.0,14.0,,7.0,0.0,,,
3,2020-12-04 16:53:13,新加坡,58242,0,58145,29,0,0.0,3.0,,0.0,0.0,,,
4,2020-12-04 12:13:07,韩国,36332,0,28611,536,0,0.0,629.0,,259.0,7.0,,,
5,2020-12-04 21:53:17,澳大利亚,27949,0,25630,908,0,0.0,10.0,,12.0,0.0,,,
6,2020-12-04 20:53:20,德国,1145645,0,819735,18135,0,0.0,27491.0,,23717.0,401.0,,,
7,2020-12-04 10:33:05,美国,14535196,0,8561427,282829,0,0.0,218576.0,,99080.0,2964.0,,,
8,2020-12-04 20:13:23,马来西亚,70236,0,59061,376,0,0.0,1141.0,,1144.0,0.0,,,
9,2020-12-04 21:53:17,越南,1361,0,1220,35,0,0.0,3.0,,11.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2020-12-04 20:53:20,肯尼亚,86383,0,67788,1500,0,0.0,1253.0,,11324.0,16.0,,,
826,2020-12-04 20:53:20,伊朗,1016835,0,708106,49695,0,0.0,13341.0,,8791.0,347.0,,,
827,2020-12-04 20:13:23,以色列,341760,0,326966,2896,0,0.0,1336.0,,1092.0,6.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2020-12-04 08:38:03,黎巴嫩,132817,0,84142,1067,0,0.0,1520.0,,1108.0,12.0,,,
833,2020-12-04 20:13:23,克罗地亚,143370,0,117148,2032,0,0.0,3955.0,,3639.0,68.0,,,
834,2020-12-04 20:53:20,奥地利,297245,0,243775,3651,0,0.0,3815.0,,5648.0,113.0,,,
835,2020-12-04 23:13:25,瑞士,344497,0,260600,5243,0,0.0,4382.0,,3000.0,101.0,,,
839,2020-12-04 08:38:03,希腊,111537,0,23074,2706,0,0.0,1882.0,,0.0,100.0,,,
95800,2020-12-04 00:02:51,毛里求斯,508,0,465,10,0,0.0,3.0,,0.0,0.0,,,
845,2020-12-04 18:53:19,爱沙尼亚,13939,0,8549,125,0,0.0,470.0,,367.0,2.0,,,
846,2020-12-04 08:38:03,北马其顿,65231,0,41656,1847,0,0.0,1341.0,,679.0,22.0,,,
850,2020-12-04 23:13:25,白俄罗斯,143383,0,120571,1190,0,0.0,1774.0,,1647.0,9.0,,,
851,2020-12-04 16:53:12,立陶宛,69582,0,27760,590,0,0.0,7067.0,,12683.0,71.0,,,
852,2020-12-04 21:53:17,阿塞拜疆,138000,0,83800,1551,0,0.0,4267.0,,2566.0,41.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2020-12-04 17:18:15,乌克兰,808828,0,414347,13641,0,0.0,15456.0,,13596.0,247.0,,,
874,2020-12-04 18:53:18,波兰,1041846,0,666413,19359,0,0.0,13236.0,,19853.0,531.0,,,
879,2020-12-04 23:13:25,波黑,92793,0,57545,2865,0,0.0,1254.0,,1495.0,53.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2020-12-04 08:38:03,南非,800872,0,739367,21803,0,0.0,4400.0,,5062.0,94.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
