id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020-12-05 08:23:36,突尼斯,101900,0,75464,3481,0,0.0,2620.0,,1857.0,122.0,,,
9507896,2020-12-05 08:23:36,塞尔维亚,206940,0,15913,1834,0,0.0,7782.0,,0.0,0.0,,,
0,2020-12-05 08:23:36,中国,94038,0,87777,4753,0,3919.0,133.0,,57.0,1.0,,75.0,15.0
1,2020-12-05 08:23:35,日本本土,158387,0,131020,2210,0,0.0,2459.0,,0.0,0.0,,,
2,2020-12-05 13:13:36,泰国,4072,0,3848,60,0,0.0,19.0,,9.0,0.0,,,
3,2020-12-05 08:23:36,新加坡,58242,0,58152,29,0,0.0,3.0,,0.0,0.0,,,
4,2020-12-05 11:13:34,韩国,36915,0,28917,540,0,0.0,583.0,,306.0,4.0,,,
5,2020-12-05 13:13:36,澳大利亚,27956,0,25634,908,0,0.0,7.0,,4.0,0.0,,,
6,2020-12-05 12:13:37,德国,1157514,0,831935,18577,0,0.0,11869.0,,12200.0,442.0,,,
7,2020-12-05 10:38:34,美国,14772535,0,8658882,285550,0,0.0,235272.0,,97455.0,2721.0,,,
8,2020-12-05 08:23:36,马来西亚,70236,0,59061,376,0,0.0,1141.0,,0.0,0.0,,,
9,2020-12-05 08:23:36,越南,1361,0,1220,35,0,0.0,0.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2020-12-05 08:23:36,肯尼亚,87249,0,68110,1506,0,0.0,866.0,,322.0,6.0,,,
826,2020-12-05 08:23:36,伊朗,1016835,0,708106,49695,0,0.0,13341.0,,0.0,0.0,,,
827,2020-12-05 08:23:35,以色列,342101,0,327162,2896,0,0.0,341.0,,196.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2020-12-05 08:23:35,黎巴嫩,134295,0,86019,1078,0,0.0,1478.0,,1877.0,11.0,,,
833,2020-12-05 08:23:36,克罗地亚,143370,0,117148,2032,0,0.0,3955.0,,0.0,0.0,,,
834,2020-12-05 08:23:35,奥地利,297245,0,243775,3651,0,0.0,3815.0,,0.0,0.0,,,
835,2020-12-05 09:13:31,瑞士,344497,0,260600,5293,0,0.0,4382.0,,0.0,50.0,,,
839,2020-12-05 08:23:35,希腊,113185,0,23074,2804,0,0.0,1648.0,,0.0,98.0,,,
95800,2020-12-05 08:23:36,毛里求斯,508,0,465,10,0,0.0,0.0,,0.0,0.0,,,
845,2020-12-05 08:23:36,爱沙尼亚,13939,0,8549,125,0,0.0,470.0,,0.0,0.0,,,
846,2020-12-05 08:23:35,北马其顿,66330,0,42241,1877,0,0.0,1099.0,,585.0,30.0,,,
850,2020-12-05 08:23:36,白俄罗斯,143383,0,120571,1190,0,0.0,1774.0,,0.0,0.0,,,
851,2020-12-05 08:23:35,立陶宛,69582,0,27760,590,0,0.0,7067.0,,0.0,0.0,,,
852,2020-12-05 08:23:36,阿塞拜疆,138000,0,83800,1551,0,0.0,4267.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2020-12-05 08:23:36,乌克兰,808828,0,414347,13641,0,0.0,15456.0,,0.0,0.0,,,
874,2020-12-05 08:23:35,波兰,1041846,0,666413,19359,0,0.0,13236.0,,0.0,0.0,,,
879,2020-12-05 08:23:35,波黑,92793,0,57545,2865,0,0.0,1254.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2020-12-05 08:23:36,南非,805804,0,740450,21963,0,0.0,4932.0,,1083.0,160.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2020-12-05 08:23:35,马耳他,10320,0,8120,149,0,0.0,123.0,,0.0,0.0,,,
896,2020-12-05 08:23:35,摩尔多瓦,113829,0,98276,2384,0,0.0,1522.0,,727.0,21.0,,,
897,2020-12-05 08:23:35,保加利亚,158807,0,59677,4650,0,0.0,3614.0,,2536.0,147.0,,,
898,2020-12-05 08:23:35,孟加拉,473991,0,390951,6772,0,0.0,2252.0,,0.0,0.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2020-12-05 08:23:35,巴勒斯坦,94676,0,70206,797,0,0.0,1968.0,,0.0,0.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2020-12-05 08:23:35,阿富汗,46837,0,37260,1846,0,0.0,119.0,,0.0,0.0,,,
95888822,2020-12-05 08:23:36,沙特阿拉伯,358336,0,348238,5940,0,0.0,234.0,,0.0,0.0,,,
9511123,2020-12-05 11:13:34,新西兰,2078,0,1994,25,0,0.0,9.0,,11.0,0.0,,,
95333,2020-12-05 08:23:36,塔吉克斯坦,12349,0,11758,87,0,0.0,41.0,,40.0,0.0,,,
83356,2020-06-15 13:25:33,泽西岛,313,0,292,15,0,0.0,,,,,,,
954467,2020-06-15 13:51:09,叙利亚,177,0,74,6,0,,,0.0,,,0.0,,
95327,2020-12-05 09:43:39,巴拿马,173607,0,150051,3154,0,0.0,2388.0,,1655.0,13.0,,,
95329,2020-12-05 08:23:35,古巴,8610,0,7858,136,0,0.0,79.0,,88.0,0.0,,,
9511111,2020-12-05 08:23:36,尼日利亚,68627,0,64467,1179,0,0.0,324.0,,176.0,0.0,,,
95858585,2020-12-05 08:23:36,摩洛哥,372620,0,323814,6136,0,0.0,3996.0,,4827.0,73.0,,,
9500222,2020-12-05 08:23:36,塞内加尔,16297,0,15707,336,0,0.0,80.0,,0.0,0.0,,,
95118,2020-06-15 14:24:59,老挝,19,0,19,0,0,,,,,,,,
95350,2020-12-05 09:13:31,巴哈马,7565,0,5976,163,0,0.0,16.0,,42.0,0.0,,,
84226,2020-06-15 10:14:23,马约特岛,2282,0,1790,28,0,0.0,,,,,,,
954444,2020-12-05 08:23:36,斯洛文尼亚,83133,0,60957,1653,0,0.0,1784.0,,1488.0,61.0,,,
95103,2020-12-05 08:23:35,卢森堡,37017,0,28029,345,0,0.0,588.0,,673.0,6.0,,,
95106,2020-12-05 08:23:35,爱尔兰,73491,0,23364,2086,0,0.0,263.0,,0.0,6.0,,,
95102,2020-12-05 08:23:36,厄瓜多尔,196482,0,169804,13696,0,0.0,598.0,,0.0,84.0,,,
957777,2020-12-05 09:43:39,捷克,542406,0,473994,8738,0,0.0,4743.0,,5692.0,97.0,,,
9522222,2020-12-05 08:23:35,匈牙利,238056,0,68525,5513,0,0.0,6212.0,,0.0,0.0,,,
8101,2020-06-15 10:57:56,法属圭亚那,1255,0,534,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8102,2020-06-15 11:45:39,多哥共和国,530,0,291,13,0,0.0,,,,,,,
8100,2020-12-05 08:23:35,哥斯达黎加,143685,0,95789,1773,0,0.0,1180.0,,4365.0,16.0,,,
8105,2020-12-05 08:23:36,文莱,151,0,146,3,0,0.0,0.0,,0.0,0.0,,,
8103,2020-06-15 13:46:38,法罗群岛,187,0,187,0,0,0.0,,,,,,,
8104,2020-12-05 08:23:35,马提尼克岛,37,0,0,1,0,0.0,5.0,,0.0,0.0,,,
95120,2020-12-05 12:13:37,荷兰,553040,0,7203,9704,0,0.0,184.0,,74.0,1.0,,,
951234567,2020-12-05 11:13:34,巴西,6533968,0,5825745,175964,0,0.0,46884.0,,33206.0,694.0,,,
8115,2020-12-05 08:23:36,洪都拉斯,109760,0,48953,2938,0,0.0,616.0,,0.0,0.0,,,
95394,2020-12-05 09:13:31,乌拉圭,6731,0,4826,80,0,0.0,276.0,,119.0,0.0,,,
95390,2020-12-05 08:23:36,秘鲁,967075,0,901544,36076,0,0.0,3470.0,,0.0,0.0,,,
956666,2020-12-05 08:23:36,智利,557135,0,531543,15558,0,0.0,3237.0,,0.0,0.0,,,
95389,2020-06-15 00:00:31,格陵兰,13,0,13,0,0,0.0,,,,,,,
95382,2020-06-12 17:03:05,圣巴托洛谬岛,6,0,6,0,0,,,,,,,,
950101010,2020-12-05 08:23:35,马尔代夫,13143,0,12199,47,0,0.0,37.0,,45.0,0.0,,,
95384,2020-12-05 11:13:34,委内瑞拉,103877,0,98879,913,0,0.0,329.0,,358.0,4.0,,,
8134,2020-12-05 08:23:36,毛里塔尼亚,9181,0,7812,182,0,0.0,176.0,,27.0,1.0,,,
8135,2020-06-15 00:00:31,纳米比亚,31,0,17,0,0,,,,,,,,
8132,2020-06-15 13:04:24,法属留尼汪岛,487,0,447,1,0,0.0,,,,,,,
8133,2020-06-13 11:26:34,波多黎各,5536,0,0,146,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
95732,2020-12-05 08:23:35,加纳,52096,0,50924,325,0,0.0,429.0,,377.0,2.0,,,
8136,2020-12-05 08:23:35,赤道几内亚,5159,0,5023,85,0,0.0,3.0,,0.0,0.0,,,
8130,2020-12-05 08:23:35,几内亚,13186,0,12270,76,0,0.0,19.0,,0.0,0.0,,,
8131,2020-12-05 08:23:35,卢旺达,6043,0,5672,51,0,0.0,32.0,,76.0,1.0,,,
80001,2020-06-15 00:00:31,格林纳达,23,0,22,0,0,,,,,,,,
8129,2020-12-05 08:23:35,斯威士兰,6480,0,6066,122,0,0.0,6.0,,22.0,0.0,,,
8145,2020-12-05 08:23:36,坦桑尼亚,509,0,183,21,0,0.0,0.0,,0.0,0.0,,,
8146,2020-12-05 08:23:35,贝宁,3055,0,2907,44,0,0.0,0.0,,0.0,0.0,,,
8143,2020-12-05 08:23:36,刚果（金）,13281,0,11753,337,0,0.0,149.0,,0.0,0.0,,,
8144,2020-12-05 08:23:36,中非共和国,4918,0,1924,63,0,0.0,0.0,,0.0,0.0,,,
8147,2020-12-05 08:23:35,利比里亚,1676,0,1358,83,0,0.0,13.0,,0.0,0.0,,,
8148,2020-12-05 08:23:35,索马里,4525,0,3480,121,0,0.0,0.0,,0.0,0.0,,,
95123456,2020-12-05 08:23:36,塞拉利昂,2420,0,1842,74,0,0.0,4.0,,2.0,0.0,,,
95XXXX,2020-12-05 08:23:36,乍得,1719,0,1555,102,0,0.0,11.0,,16.0,0.0,,,
8152,2020-12-05 08:23:36,赞比亚,17857,0,17145,364,0,0.0,127.0,,43.0,7.0,,,
8151,2020-06-15 13:01:51,巴巴多斯,96,0,83,7,0,,,,,,,,
95mali,2020-12-05 08:23:36,马里,4938,0,3307,163,0,0.0,58.0,,26.0,1.0,,,
958888,2020-12-05 08:23:35,阿根廷,1454631,0,1281955,39512,0,0.0,6899.0,,7280.0,207.0,,,
81113,2020-06-15 00:00:31,法属波利尼西亚,60,0,60,0,0,,,,,,,,
9584332,2020-12-05 08:23:35,巴林,87600,0,85710,341,0,0.0,168.0,,112.0,0.0,,,
8168,2020-12-05 08:23:36,莫桑比克,16038,0,14160,133,0,0.0,120.0,,130.0,1.0,,,
95747,2020-12-05 09:13:31,喀麦隆,24752,0,23344,443,0,0.0,265.0,,1167.0,2.0,,,
